timestamp,metric,unit,name,fuel_group,value
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|battery,battery,-5111.3215
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|battery_charging,battery_charging,9270.6508
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|battery_charging,battery_charging,5179.1902
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|battery_discharging,battery_discharging,71.42
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|battery_discharging,battery_discharging,67.8687
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|coal,coal,21607.907
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|coal,coal,21704.875
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|gas,gas,0.0
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|gas,gas,0.0
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|hydro,hydro,23.05
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|hydro,hydro,24.12
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|solar,solar,9382.117
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|solar,solar,9001.0176
2025-12-03T12:00:00+10:00,power,MW,power_VIC1|wind,wind,15188.914
2025-12-03T13:00:00+10:00,power,MW,power_VIC1|wind,wind,14978.167
