timestamp,metric,unit,facility_code,unit_code,fueltech_group,network_region,value
2025-12-03T19:00:00+10:00,emissions,t,emissions_ULPBESSG1,ULPBESSG1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WHITSF1,WHITSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WUNUSF1,WUNUSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_AGLHAL,AGLHAL,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BANGOWF1,BANGOWF1,,,223.5488
2025-12-03T19:00:00+10:00,power,MW,power_BANGOWF2,BANGOWF2,,,296.1712
2025-12-03T19:00:00+10:00,power,MW,power_BBTHREE1,BBTHREE1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BBTHREE2,BBTHREE2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BBTHREE3,BBTHREE3,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_TVPP104,TVPP104,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BNGSF1,BNGSF1,,,212.54
2025-12-03T19:00:00+10:00,power,MW,power_BOWWBA1,BOWWBA1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BOWWBA1G,BOWWBA1G,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BOWWPV1,BOWWPV1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_CROOKWF3,CROOKWF3,,,233.0644
2025-12-03T19:00:00+10:00,power,MW,power_ER01,ER01,,,14985.873
2025-12-03T19:00:00+10:00,power,MW,power_ER02,ER02,,,4337.7616
2025-12-03T19:00:00+10:00,power,MW,power_ER03,ER03,,,16744.445
2025-12-03T19:00:00+10:00,power,MW,power_ER04,ER04,,,15986.279
2025-12-03T19:00:00+10:00,power,MW,power_GANNSF1,GANNSF1,,,18.4
2025-12-03T19:00:00+10:00,power,MW,power_HBESS1,HBESS1,,,1551.8
2025-12-03T19:00:00+10:00,power,MW,power_HBESSG1,HBESSG1,,,1551.8
2025-12-03T19:00:00+10:00,power,MW,power_HDWF2,HDWF2,,,270.0
2025-12-03T19:00:00+10:00,power,MW,power_HDWF3,HDWF3,,,266.2
2025-12-03T19:00:00+10:00,power,MW,power_MCINTYR1,MCINTYR1,,,2586.8074
2025-12-03T19:00:00+10:00,power,MW,power_OAKEY2SF,OAKEY2SF,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_OAKLAND1,OAKLAND1,,,585.8
2025-12-03T19:00:00+10:00,power,MW,power_WAGGNSF1,WAGGNSF1,,,0.9034
2025-12-03T19:00:00+10:00,power,MW,power_WOLARSF1,WOLARSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_AGLHAL,AGLHAL,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BANGOWF1,BANGOWF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BANGOWF2,BANGOWF2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BBTHREE1,BBTHREE1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BBTHREE2,BBTHREE2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BBTHREE3,BBTHREE3,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_TVPP104,TVPP104,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BNGSF1,BNGSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BOWWBA1,BOWWBA1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BOWWBA1G,BOWWBA1G,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BOWWPV1,BOWWPV1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CROOKWF3,CROOKWF3,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_ER01,ER01,,,1116.8794
2025-12-03T19:00:00+10:00,emissions,t,emissions_ER02,ER02,,,325.5923
2025-12-03T19:00:00+10:00,emissions,t,emissions_ER03,ER03,,,1228.9659
2025-12-03T19:00:00+10:00,emissions,t,emissions_ER04,ER04,,,1181.2973
2025-12-03T19:00:00+10:00,emissions,t,emissions_GANNSF1,GANNSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HBESS1,HBESS1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HBESSG1,HBESSG1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HDWF2,HDWF2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HDWF3,HDWF3,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_MCINTYR1,MCINTYR1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_OAKEY2SF,OAKEY2SF,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_OAKLAND1,OAKLAND1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WAGGNSF1,WAGGNSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WOLARSF1,WOLARSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR5,BRAEMAR5,,,4.8336
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR6,BRAEMAR6,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR7,BRAEMAR7,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BASTYAN,BASTYAN,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BODWF1,BODWF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_CAPTL_WF,CAPTL_WF,,,771.4726
2025-12-03T19:00:00+10:00,power,MW,power_CHALLHWF,CHALLHWF,,,400.8
2025-12-03T19:00:00+10:00,power,MW,power_CRURWF1,CRURWF1,,,264.9496
2025-12-03T19:00:00+10:00,power,MW,power_HUGSF1,HUGSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_HUMENSW,HUMENSW,,,449.9092
2025-12-03T19:00:00+10:00,power,MW,power_LILYSF1,LILYSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_QBYNB1,QBYNB1,,,-1.056
2025-12-03T19:00:00+10:00,power,MW,power_QBYNBL1,QBYNBL1,,,1.056
2025-12-03T19:00:00+10:00,power,MW,power_RESS1,RESS1,,,820.6788
2025-12-03T19:00:00+10:00,power,MW,power_RESS1G,RESS1G,,,820.6788
2025-12-03T19:00:00+10:00,power,MW,power_SMTHBES1,SMTHBES1,,,1108.261
2025-12-03T19:00:00+10:00,power,MW,power_SMTHBES1G1,SMTHBES1G1,,,1111.57
2025-12-03T19:00:00+10:00,power,MW,power_SMTHBES1L1,SMTHBES1L1,,,3.309
2025-12-03T19:00:00+10:00,power,MW,power_BLOWERNG,BLOWERNG,,,522.6
2025-12-03T19:00:00+10:00,power,MW,power_TARBESS1,TARBESS1,,,-15.1024
2025-12-03T19:00:00+10:00,power,MW,power_TARBESSL1,TARBESSL1,,,15.1024
2025-12-03T19:00:00+10:00,power,MW,power_WRSF1,WRSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_YWPS1,YWPS1,,,7924.5
2025-12-03T19:00:00+10:00,power,MW,power_YWPS2,YWPS2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_YWPS3,YWPS3,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_YWPS4,YWPS4,,,8408.8126
2025-12-03T19:00:00+10:00,emissions,t,emissions_BRAEMAR5,BRAEMAR5,,,0.2352
2025-12-03T19:00:00+10:00,emissions,t,emissions_BRAEMAR6,BRAEMAR6,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BRAEMAR7,BRAEMAR7,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BASTYAN,BASTYAN,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BODWF1,BODWF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CAPTL_WF,CAPTL_WF,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CHALLHWF,CHALLHWF,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CRURWF1,CRURWF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HUGSF1,HUGSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HUMENSW,HUMENSW,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_LILYSF1,LILYSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_QBYNB1,QBYNB1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_QBYNBL1,QBYNBL1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_RESS1,RESS1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_RESS1G,RESS1G,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_SMTHBES1,SMTHBES1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_SMTHBES1G1,SMTHBES1G1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_SMTHBES1L1,SMTHBES1L1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BLOWERNG,BLOWERNG,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_TARBESS1,TARBESS1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_TARBESSL1,TARBESSL1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WRSF1,WRSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_YWPS1,YWPS1,,,859.7618
2025-12-03T19:00:00+10:00,emissions,t,emissions_YWPS2,YWPS2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_YWPS3,YWPS3,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_YWPS4,YWPS4,,,914.4036
2025-12-03T19:00:00+10:00,power,MW,power_ADPBA1,ADPBA1,,,86.276
2025-12-03T19:00:00+10:00,power,MW,power_ADPBA1G,ADPBA1G,,,86.276
2025-12-03T19:00:00+10:00,power,MW,power_ADPPV1,ADPPV1,,,8.894
2025-12-03T19:00:00+10:00,power,MW,power_AGLSOM,AGLSOM,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRNDBES1,BRNDBES1,,,3616.9702
2025-12-03T19:00:00+10:00,power,MW,power_BRNDBESG1,BRNDBESG1,,,3616.9702
2025-12-03T19:00:00+10:00,power,MW,power_CPP_3,CPP_3,,,9535.9
2025-12-03T19:00:00+10:00,power,MW,power_CPP_4,CPP_4,,,10039.15
2025-12-03T19:00:00+10:00,power,MW,power_CLUNY,CLUNY,,,51.9496
2025-12-03T19:00:00+10:00,power,MW,power_COLWF01,COLWF01,,,897.536
2025-12-03T19:00:00+10:00,power,MW,power_ERGT01,ERGT01,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_KAREEYA1,KAREEYA1,,,501.1
2025-12-03T19:00:00+10:00,power,MW,power_KAREEYA2,KAREEYA2,,,499.94
2025-12-03T19:00:00+10:00,power,MW,power_KAREEYA3,KAREEYA3,,,497.68
2025-12-03T19:00:00+10:00,power,MW,power_KAREEYA4,KAREEYA4,,,498.005
2025-12-03T19:00:00+10:00,power,MW,power_LONSDALE,LONSDALE,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_MEADOWBK,MEADOWBK,,,286.372
2025-12-03T19:00:00+10:00,power,MW,power_NEWENSF1,NEWENSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_NEWENSF2,NEWENSF2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_NUMURSF1,NUMURSF1,,,24.66
2025-12-03T19:00:00+10:00,power,MW,power_POAT110,POAT110,,,757.7154
2025-12-03T19:00:00+10:00,power,MW,power_POAT220,POAT220,,,351.94
2025-12-03T19:00:00+10:00,power,MW,power_RYEPARK1,RYEPARK1,,,1249.2898
2025-12-03T19:00:00+10:00,power,MW,power_SRSF1,SRSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_TRIBUTE,TRIBUTE,,,1866.84
2025-12-03T19:00:00+10:00,power,MW,power_PUMP1,PUMP1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_PUMP2,PUMP2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_W/HOE#1,W/HOE#1,,,6612.38
2025-12-03T19:00:00+10:00,power,MW,power_W/HOE#2,W/HOE#2,,,6629.58
2025-12-03T19:00:00+10:00,power,MW,power_WLWLSF1,WLWLSF1,,,8.443
2025-12-03T19:00:00+10:00,power,MW,power_WLWLSF2,WLWLSF2,,,9.443
2025-12-03T19:00:00+10:00,emissions,t,emissions_ADPBA1,ADPBA1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_ADPBA1G,ADPBA1G,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_ADPPV1,ADPPV1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_AGLSOM,AGLSOM,,,0.0
